"productId","language","packageName","version","referenceUrl"
"35","NODEJS","@google-cloud/redis-cluster","preview","https://cloud.google.com/nodejs/docs/reference/redis/latest"
"35","NODEJS","@google-cloud/redis","stable","https://cloud.google.com/nodejs/docs/reference/redis/latest"
"35","PYTHON","google-cloud-redis","stable","https://cloud.google.com/python/docs/reference/redis/latest"
"35","RUBY","google-cloud-redis-cluster-v1beta1","preview","https://cloud.google.com/ruby/docs/reference/google-cloud-redis-cluster-v1beta1/latest"
"35","RUBY","google-cloud-redis-v1beta1","preview","https://cloud.google.com/ruby/docs/reference/google-cloud-redis-v1beta1/latest"
"35","RUBY","google-cloud-redis-cluster-v1","stable","https://cloud.google.com/ruby/docs/reference/google-cloud-redis-cluster-v1/latest"
"35","RUBY","google-cloud-redis-cluster","stable","https://cloud.google.com/ruby/docs/reference/google-cloud-redis-cluster/latest"
"35","RUBY","google-cloud-redis-v1","stable","https://cloud.google.com/ruby/docs/reference/google-cloud-redis-v1/latest"
"35","RUBY","google-cloud-redis","stable","https://cloud.google.com/ruby/docs/reference/google-cloud-redis/latest"
"39","CPP","google-cloud-cpp::iap::v1","stable","https://cloud.google.com/cpp/docs/reference/iap/latest"
"39","JAVA","com.google.cloud:google-cloud-iap","stable","https://cloud.google.com/java/docs/reference/google-cloud-iap/latest/overview"
"39","NODEJS","@google-cloud/iap","stable","https://cloud.google.com/nodejs/docs/reference/iap/latest"
"39","PYTHON","google-cloud-iap","stable","https://cloud.google.com/python/docs/reference/iap/latest"
"39","RUBY","google-cloud-iap-v1","stable","https://cloud.google.com/ruby/docs/reference/google-cloud-iap-v1/latest"
"39","RUBY","google-cloud-iap","stable","https://cloud.google.com/ruby/docs/reference/google-cloud-iap/latest"
"43","CPP","google-cloud-cpp::accesscontextmanager::v1","stable","https://cloud.google.com/cpp/docs/reference/accesscontextmanager/latest"
"43","JAVA","com.google.cloud:google-identity-accesscontextmanager","stable","https://cloud.google.com/java/docs/reference/google-identity-accesscontextmanager/latest/overview"
"43","NODEJS","@google-cloud/access-context-manager","stable","https://cloud.google.com/nodejs/docs/reference/access-context-manager/latest"
"43","RUBY","google-identity-access_context_manager-v1","preview","https://cloud.google.com/ruby/docs/reference/google-identity-access_context_manager-v1/latest"
"43","RUBY","google-identity-access_context_manager","stable","https://cloud.google.com/ruby/docs/reference/google-identity-access_context_manager/latest"
"46","CPP","google-cloud-cpp::billing::v1","stable","https://cloud.google.com/cpp/docs/reference/billing/latest"
"46","JAVA","com.google.cloud:google-cloud-billing","stable","https://cloud.google.com/java/docs/reference/google-cloud-billing/latest/overview"
"46","NODEJS","@google-cloud/billing","stable","https://cloud.google.com/nodejs/docs/reference/billing/latest"
"46","PYTHON","google-cloud-billing","stable","https://cloud.google.com/python/docs/reference/cloudbilling/latest"
"46","RUBY","google-cloud-billing-v1","stable","https://cloud.google.com/ruby/docs/reference/google-cloud-billing-v1/latest"
"46","RUBY","google-cloud-billing","stable","https://cloud.google.com/ruby/docs/reference/google-cloud-billing/latest"
"47","CPP","google-cloud-cpp::channel::v1","stable","https://cloud.google.com/cpp/docs/reference/channel/latest"
"47","JAVA","com.google.cloud:google-cloud-channel","stable","https://cloud.google.com/java/docs/reference/google-cloud-channel/latest/overview"
"47","NODEJS","@google-cloud/channel","stable","https://cloud.google.com/nodejs/docs/reference/channel/latest"
"47","PYTHON","google-cloud-channel","stable","https://cloud.google.com/python/docs/reference/cloudchannel/latest"
"47","RUBY","google-cloud-channel-v1","stable","https://cloud.google.com/ruby/docs/reference/google-cloud-channel-v1/latest"
"47","RUBY","google-cloud-channel","stable","https://cloud.google.com/ruby/docs/reference/google-cloud-channel/latest"
"48","CPP","google-cloud-cpp::compute","preview","https://cloud.google.com/cpp/docs/reference/compute/latest"
"48","CPP","google-cloud-cpp::compute::v1","stable","https://cloud.google.com/cpp/docs/reference/compute/latest"
"48","JAVA","com.google.cloud:google-cloud-compute","stable","https://cloud.google.com/java/docs/reference/google-cloud-compute/latest/overview"
"48","NODEJS","@google-cloud/compute","stable","https://cloud.google.com/nodejs/docs/reference/compute/latest"
"48","PYTHON","google-cloud-compute-v1beta","stable","https://cloud.google.com/python/docs/reference/google-cloud-compute-v1beta/latest"
"48","PYTHON","google-cloud-compute","stable","https://cloud.google.com/python/docs/reference/compute/latest"
"48","RUBY","google-cloud-compute-v1","stable","https://cloud.google.com/ruby/docs/reference/google-cloud-compute-v1/latest"
"48","RUBY","google-cloud-compute","stable","https://cloud.google.com/ruby/docs/reference/google-cloud-compute/latest"
"49","CPP","google-cloud-cpp::cloudbuild::v2","preview","https://cloud.google.com/cpp/docs/reference/cloudbuild/latest"
"49","CPP","google-cloud-cpp::cloudbuild::v1","stable","https://cloud.google.com/cpp/docs/reference/cloudbuild/latest"
"49","JAVA","com.google.cloud:google-cloud-build","stable","https://cloud.google.com/java/docs/reference/google-cloud-build/latest/overview"
"49","NODEJS","@google-cloud/cloudbuild","stable","https://cloud.google.com/nodejs/docs/reference/cloudbuild/latest"
"49","PYTHON","google-cloud-build","stable","https://cloud.google.com/python/docs/reference/cloudbuild/latest"
"49","RUBY","google-cloud-build-v2","preview","https://cloud.google.com/ruby/docs/reference/google-cloud-build-v2/latest"
"49","RUBY","google-cloud-build-v1","stable","https://cloud.google.com/ruby/docs/reference/google-cloud-build-v1/latest"
"49","RUBY","google-cloud-build","stable","https://cloud.google.com/ruby/docs/reference/google-cloud-build/latest"
"50","JAVA","com.google.cloud:google-cloud-dataflow","preview","https://cloud.google.com/java/docs/reference/google-cloud-dataflow/latest/overview"
"50","NODEJS","@google-cloud/dataflow","preview","https://cloud.google.com/nodejs/docs/reference/dataflow/latest"
"50","PYTHON","google-cloud-dataflow-client","preview","https://cloud.google.com/python/docs/reference/dataflow/latest"
"50","RUBY","google-cloud-dataflow-v1beta3","preview","https://cloud.google.com/ruby/docs/reference/google-cloud-dataflow-v1beta3/latest"
"50","RUBY","google-cloud-dataflow","preview","https://cloud.google.com/ruby/docs/reference/google-cloud-dataflow/latest"
"54","CPP","google-cloud-cpp::dataproc::v1","stable","https://cloud.google.com/cpp/docs/reference/dataproc/latest"
"54","JAVA","com.google.cloud:google-cloud-dataproc","stable","https://cloud.google.com/java/docs/reference/google-cloud-dataproc/latest/overview"
"54","NODEJS","@google-cloud/dataproc","stable","https://cloud.google.com/nodejs/docs/reference/dataproc/latest"
"54","PYTHON","google-cloud-dataproc","stable","https://cloud.google.com/python/docs/reference/dataproc/latest"
"54","RUBY","google-cloud-dataproc-v1","stable","https://cloud.google.com/ruby/docs/reference/google-cloud-dataproc-v1/latest"
"54","RUBY","google-cloud-dataproc","stable","https://cloud.google.com/ruby/docs/reference/google-cloud-dataproc/latest"
"56","JAVA","com.google.cloud:google-cloud-dns","stable","https://cloud.google.com/java/docs/reference/google-cloud-dns/latest/overview"
